,Bal,Brick,Dist,Flat URL,Floor,Kitsp,Livesp,Metrdist,N,New,Nfloor,Price,Rooms,Tel,Totsp,Walk
2806,,1,13.118359137153845,43369704,5,2.0,13.0,12.0,2806,0,6.0,3600000.0,1,,15.0,1.0
2807,0.0,1,11.597792661325641,24503572,1,,14.0,10.0,2807,0,3.0,3600000.0,1,0.0,16.0,0.0
2808,,1,13.118359137153845,47093572,1,2.0,14.4,20.0,2808,0,6.0,3600000.0,9,0.0,16.4,1.0
2809,,1,13.118359137153845,47666464,3,2.0,14.2,16.0,2809,0,6.0,3650000.0,9,0.0,16.2,1.0
2810,,1,13.118359137153845,150871186,2,,14.0,10.0,2810,0,5.0,3650000.0,9,1.0,16.4,1.0
2811,,1,9.126998521650847,149772232,5,4.0,17.0,15.0,2811,0,5.0,3800000.0,1,,24.5,1.0
2812,,1,10.787906450293638,148646744,5,4.5,19.0,15.0,2812,0,5.0,3950000.0,1,,27.0,1.0
2813,1.0,1,15.930763692259971,50164795,22,10.0,22.0,5.0,2813,1,25.0,3990000.0,1,,49.0,0.0
2814,,0,12.974863856421011,149006586,1,7.0,24.0,18.0,2814,0,14.0,4000000.0,2,,38.2,1.0
2815,,0,9.126998521650847,150444898,5,4.0,16.0,12.0,2815,0,5.0,4100000.0,1,,24.0,1.0
2816,,1,9.126998521650847,150445217,5,4.0,16.0,15.0,2816,0,5.0,4100000.0,1,,24.0,1.0
2817,,0,15.544831235645955,146147955,1,6.5,32.0,10.0,2817,0,2.0,4100000.0,2,,46.0,0.0
2818,,0,10.854626861471594,150339219,5,4.5,14.0,14.0,2818,0,5.0,4150000.0,1,,24.0,1.0
2819,1.0,0,13.473844585660192,149948858,2,9.0,18.0,10.0,2819,0,10.0,4200000.0,1,,36.0,0.0
2820,1.0,0,9.267435048474253,150961041,5,6.0,19.0,23.0,2820,0,5.0,4300000.0,1,1.0,31.0,1.0
2821,,1,10.030751573277437,150976210,1,5.7,17.0,10.0,2821,0,5.0,4300000.0,1,1.0,28.4,1.0
2822,,0,13.488062434512115,149948712,1,9.3,21.0,10.0,2822,0,12.0,4400000.0,1,1.0,40.0,0.0
2823,1.0,0,10.402490281833314,150567542,5,6.0,21.0,10.0,2823,0,5.0,4400000.0,1,1.0,32.0,1.0
